fips,x,y
06085,-121.72088,37.18886
06087,-122.04286,37.05285
06089,-122.01786,40.73474
06091,-120.51065,39.58385
06093,-122.54437,41.50042
06095,-121.90185,38.28549
06097,-122.89434,38.46289
06099,-120.88706,37.60574
06101,-121.70788,39.01994
06103,-122.21232,40.12521
06105,-123.14364,40.67254
06107,-118.82321,36.26712
06109,-119.88301,38.03352
06111,-119.07725,34.44704
06113,-121.85512,38.61951
06115,-121.43817,39.27886
08001,-104.16306,39.86985
08003,-105.77352,37.55413
08005,-104.28306,39.65216
08007,-107.05484,37.20753
08009,-102.56268,37.31404
08011,-103.06962,37.95703
08013,-105.34483,40.08795
08014,-105.03545,39.96667
08015,-106.18275,38.74066
08017,-102.60461,38.82987
08019,-105.66000,39.70909
08021,-106.17114,37.19850
08023,-105.45594,37.32671
08025,-103.77847,38.31615
08027,-105.34431,38.07760
08029,-107.80381,38.94237
08031,-104.95491,39.76444
08033,-108.50623,37.69058
08035,-104.91996,39.34785
08037,-106.64613,39.63780
08039,-104.18905,39.21660
08041,-104.56306,38.82406
08043,-105.45655,38.47713
08045,-107.52605,39.72978
08047,-105.51525,39.84205
08049,-106.13603,40.08510
08051,-106.97587,38.70072
08053,-107.29910,37.78503
08055,-104.90620,37.65404
08057,-106.32235,40.66329
08059,-105.23912,39.52200
08061,-102.77543,38.44008
08063,-102.60183,39.30621
08065,-106.33565,39.21844
08067,-107.84680,37.32023
08069,-105.44660,40.62840
08071,-103.92165,37.40514
08073,-103.44197,39.04177
08075,-103.11257,40.71905
08077,-108.58469,38.93323
08079,-106.92021,37.68335
08081,-108.18100,40.61077
08083,-108.62869,37.31931
08085,-108.28024,38.41078
08087,-103.81084,40.26868
08089,-103.72887,37.95506
08091,-107.72645,38.11218
08093,-105.79001,39.13074
08095,-102.35851,40.59545
08097,-106.93039,39.17211
08099,-102.39258,37.96187
08101,-104.55333,38.12849
08103,-108.18473,39.93749
08105,-106.37526,37.61743
08107,-107.04338,40.46145
08109,-106.33158,38.10297
08111,-107.64621,37.80229
08113,-108.41228,37.96421
08115,-102.35174,40.87572
08117,-106.00291,39.64117
08119,-105.17862,38.88902
08121,-103.13788,40.00218
08123,-104.54585,40.50139
08125,-102.42255,40.00853
09001,-73.31374,41.30840
09003,-72.74404,41.79174
09005,-73.25982,41.76009
09007,-72.52916,41.41240
09009,-72.87758,41.36581
09011,-72.05281,41.46462
09013,-72.31902,41.81154
09015,-71.97896,41.83169
10001,-75.47972,39.10961
10003,-75.64754,39.56504
10005,-75.36294,38.72728
11001,-76.98786,38.89374
12001,-82.35522,29.68090
12003,-82.31488,30.36036
12005,-85.69411,30.23377
12007,-82.21452,29.93077
12009,-80.70051,28.30672
12011,-80.45498,26.15724
12013,-85.20863,30.40392
